지점,지점명,일시,평균기온(°C),최저기온(°C),최고기온(°C),일강수량(mm),합계 일조시간(hr)
108,서울,2015-02-01,-3.0,-8.2,3.6,,9.7
108,서울,2015-02-02,-0.6,-5.3,6.4,,7.6
108,서울,2015-02-03,0.6,-3.5,7.2,,9.1
108,서울,2015-02-04,0.4,-3.1,5.8,,7.9
108,서울,2015-02-05,-0.1,-3.8,4.8,,9.0
108,서울,2015-02-06,0.4,-4.3,6.5,,9.5
108,서울,2015-02-07,1.2,-2.7,5.7,,4.1
108,서울,2015-02-08,-9.8,-11.9,-2.8,,9.7
108,서울,2015-02-09,-5.7,-13.0,-0.1,0.2,7.3
108,서울,2015-02-10,1.7,-2.0,5.8,,5.0
108,서울,2015-02-11,2.7,-0.8,8.0,,8.0
108,서울,2015-02-12,-2.2,-4.7,1.6,,9.7
108,서울,2015-02-13,-1.6,-6.4,4.0,,9.8
108,서울,2015-02-14,2.0,-3.1,6.6,,0.3
108,서울,2015-02-15,7.9,3.2,13.0,,7.3
108,서울,2015-02-16,5.0,4.1,7.9,10.5,0.0
108,서울,2015-02-17,1.9,0.5,4.1,0.5,2.4
108,서울,2015-02-18,0.8,-1.5,3.3,0.0,1.6
108,서울,2015-02-19,2.2,-2.7,8.6,,8.9
108,서울,2015-02-20,5.2,-1.3,11.4,,7.2
108,서울,2015-02-21,5.7,4.8,6.7,8.0,0.0
108,서울,2015-02-22,3.5,-0.7,7.0,2.5,4.4
108,서울,2015-02-23,0.9,-2.4,5.9,,8.0
108,서울,2015-02-24,2.1,-1.1,7.5,,9.3
108,서울,2015-02-25,5.4,0.2,12.5,0.5,5.8
108,서울,2015-02-26,1.2,-3.5,4.7,0.5,9.1
108,서울,2015-02-27,-1.3,-5.6,4.8,,9.3
108,서울,2015-02-28,2.7,-2.0,6.4,,0.0
108,서울,2015-03-01,2.4,-0.2,5.9,0.0,5.5
108,서울,2015-03-02,3.9,-1.9,9.7,,10.3
108,서울,2015-03-03,2.8,-1.3,6.7,5.5,0.0
108,서울,2015-03-04,-2.1,-4.6,1.4,,10.8
108,서울,2015-03-05,-0.3,-5.4,5.5,,8.6
108,서울,2015-03-06,2.9,-3.2,10.4,,10.9
108,서울,2015-03-07,4.2,-2.3,11.0,,10.6
108,서울,2015-03-08,7.7,0.4,15.1,,8.2
108,서울,2015-03-09,2.2,-5.4,8.2,,9.4
108,서울,2015-03-10,-3.4,-6.9,1.0,,11.0
108,서울,2015-03-11,0.4,-5.1,7.5,,10.0
108,서울,2015-03-12,2.1,-3.5,6.7,,11.1
108,서울,2015-03-13,5.6,1.8,11.0,0.1,11.0
108,서울,2015-03-14,4.3,-1.2,11.6,,9.8
108,서울,2015-03-15,5.5,0.0,12.5,,10.1
108,서울,2015-03-16,9.8,1.3,18.6,,10.0
108,서울,2015-03-17,10.7,6.9,16.1,0.0,0.3
108,서울,2015-03-18,10.7,8.4,14.4,1.5,0.0
108,서울,2015-03-19,12.4,6.5,21.0,,10.6
108,서울,2015-03-20,13.4,7.6,21.9,,8.4
108,서울,2015-03-21,11.7,6.9,17.8,,8.3
108,서울,2015-03-22,8.3,2.2,14.9,,11.1
108,서울,2015-03-23,4.6,0.0,10.1,,11.5
108,서울,2015-03-24,5.4,-0.9,12.4,,11.6
108,서울,2015-03-25,6.5,0.1,14.2,,11.5
108,서울,2015-03-26,7.9,1.6,14.8,,11.6
108,서울,2015-03-27,9.1,3.2,16.2,,11.3
108,서울,2015-03-28,9.7,2.5,17.0,,10.3
108,서울,2015-03-29,10.5,7.0,16.5,,6.2
108,서울,2015-03-30,13.2,5.9,20.8,,10.8
108,서울,2015-03-31,12.9,10.0,14.9,2.5,0.0
108,서울,2015-04-01,12.9,10.0,17.6,2.5,5.3
108,서울,2015-04-02,14.8,8.5,21.8,28.0,4.8
108,서울,2015-04-03,10.6,6.9,15.1,3.5,2.4
